MS_system,node,Degree Centrality (DB=True),Norm. Degree Centrality (DB=True),In-degree Centrality (DB=True),Norm. In-degree Centrality (DB=True),Out-degree Centrality (DB=True),Norm. Out-degree Centrality (DB=True),Eigenvector Centrality (DB=True),Betweenness Centrality (DB=True),Closeness Centrality (DB=True),PageRank Centrality (DB=True),Hub Score (DB=True),Authority Score (DB=True),Degree Centrality (DB=False),Norm. Degree Centrality (DB=False),In-degree Centrality (DB=False),Norm. In-degree Centrality (DB=False),Out-degree Centrality (DB=False),Norm. Out-degree Centrality (DB=False),Eigenvector Centrality (DB=False),Betweenness Centrality (DB=False),Closeness Centrality (DB=False),PageRank Centrality (DB=False),Hub Score (DB=False),Authority Score (DB=False)
geocoder-microservices,geocoderremote-service,4,0.5,3,0.375,1,0.125,0.23497890214664946,0.026785714285714284,0.4083333333333333,0.0663914063594572,0.07186581211274491,0.20216296673207132,4.0,0.5,3.0,0.375,1.0,0.125,0.23497890214664946,0.026785714285714284,0.4083333333333333,0.0663914063594572,0.07186581211274493,0.2021629667320713
geocoder-microservices,hystrix-dashboard,3,0.375,2,0.25,1,0.125,2.8676103667967156e-05,0.0,0.125,0.12685185185185185,0.04000122519475821,0.11561664791104347,3.0,0.375,2.0,0.25,1.0,0.125,2.8676103667967156e-05,0.0,0.125,0.12685185185185185,0.04000122519475821,0.11561664791104347
geocoder-microservices,eureka-discovery,5,0.625,4,0.5,1,0.125,0.5350062397161907,0.21428571428571427,0.5568181818181818,0.16615367764308314,0.04534499751170109,0.2077157450909587,5.0,0.625,4.0,0.5,1.0,0.125,0.5350062397161907,0.21428571428571427,0.5568181818181818,0.16615367764308314,0.045344997511701096,0.20771574509095875
geocoder-microservices,configurator,6,0.75,0,0.0,6,0.75,2.6080764353531077e-17,0.0,0.0,0.01666666666666667,0.33943352174087404,-0.0,6.0,0.75,0.0,0.0,6.0,0.75,2.6080764353531077e-17,0.0,0.0,0.01666666666666667,0.33943352174087404,-0.0
geocoder-microservices,auth-service,6,0.75,3,0.375,3,0.375,0.36806702283094644,0.2232142857142857,0.47115384615384615,0.14216755565145694,0.19852362980384247,0.16059721048040712,6.0,0.75,3.0,0.375,3.0,0.375,0.36806702283094644,0.2232142857142857,0.47115384615384615,0.14216755565145694,0.19852362980384247,0.16059721048040704
geocoder-microservices,mongodb,2,0.25,0,0.0,2,0.25,2.6080764353531077e-17,0.0,0.0,0.01666666666666667,0.12550832256900868,-0.0,2.0,0.25,0.0,0.0,2.0,0.25,2.6080764353531077e-17,0.0,0.0,0.01666666666666667,0.12550832256900865,-0.0
geocoder-microservices,user,2,0.25,1,0.125,1,0.125,0.36806702283094433,0.0,0.3402777777777778,0.13272311120701252,0.04534499751170109,0.01892590086308846,2.0,0.25,1.0,0.125,1.0,0.125,0.36806702283094433,0.0,0.3402777777777778,0.13272311120701252,0.045344997511701096,0.01892590086308841
java-microservice,oauth,5,0.4545454545454546,3,0.2727272727272727,2,0.18181818181818182,2.3855443044387e-09,0.0012987012987012985,0.29090909090909095,0.05011800889431252,0.07065271237441553,0.1090654262784405,5.0,0.4545454545454546,3.0,0.2727272727272727,2.0,0.18181818181818182,2.3855443044387e-09,0.0012987012987012985,0.29090909090909095,0.05011800889431252,0.07065271237441549,0.10906542627844054
java-microservice,admin,9,0.8181818181818182,2,0.18181818181818182,7,0.6363636363636364,9.258257326411506e-12,0.0012987012987012985,0.20454545454545453,0.044691252345250176,0.18959530806918815,0.07335761153163978,9.0,0.8181818181818182,2.0,0.18181818181818182,7.0,0.6363636363636364,9.258257326411506e-12,0.0012987012987012985,0.20454545454545453,0.044691252345250176,0.18959530806918817,0.07335761153163976
java-microservice,api-gateway,5,0.4545454545454546,3,0.2727272727272727,2,0.18181818181818182,2.3855443044387e-09,0.0012987012987012985,0.29090909090909095,0.05011800889431252,0.07065271237441553,0.10906542627844051,5.0,0.4545454545454546,3.0,0.2727272727272727,2.0,0.18181818181818182,2.3855443044387e-09,0.0012987012987012985,0.29090909090909095,0.05011800889431252,0.07065271237441549,0.1090654262784405
java-microservice,eureka-server,9,0.8181818181818182,8,0.7272727272727273,1,0.09090909090909091,0.009042635872507726,0.0012987012987012985,0.7575757575757576,0.16835721513501692,0.03223461216989351,0.1776348753833913,9.0,0.8181818181818182,8.0,0.7272727272727273,1.0,0.09090909090909091,0.009042635872507726,0.0012987012987012985,0.7575757575757576,0.16835721513501692,0.0322346121698935,0.17763487538339118
java-microservice,mailer,6,0.5454545454545454,4,0.36363636363636365,2,0.18181818181818182,7.063001222794096e-05,0.01948051948051948,0.40909090909090906,0.09444380263199798,0.07065271237441553,0.11369659713282103,6.0,0.5454545454545454,4.0,0.36363636363636365,2.0,0.18181818181818182,7.063001222794096e-05,0.01948051948051948,0.40909090909090906,0.09444380263199798,0.07065271237441549,0.11369659713282103
java-microservice,user,5,0.4545454545454546,3,0.2727272727272727,2,0.18181818181818182,2.3855443044387e-09,0.0012987012987012985,0.29090909090909095,0.05011800889431252,0.07065271237441553,0.10906542627844051,5.0,0.4545454545454546,3.0,0.2727272727272727,2.0,0.18181818181818182,2.3855443044387e-09,0.0012987012987012985,0.29090909090909095,0.05011800889431252,0.07065271237441549,0.1090654262784405
java-microservice,config-server,9,0.8181818181818182,1,0.09090909090909091,8,0.7272727272727273,2.39851226072837e-14,0.08181818181818182,0.09090909090909091,0.06346133554616115,0.205460774039788,7.275664889505596e-18,9.0,0.8181818181818182,1.0,0.09090909090909091,8.0,0.7272727272727273,2.39851226072837e-14,0.08181818181818182,0.09090909090909091,0.06346133554616115,0.20546077403978802,-9.700886519340791e-18
java-microservice,reminder,6,0.5454545454545454,3,0.2727272727272727,3,0.2727272727272727,2.3855443044387e-09,0.02857142857142857,0.29090909090909095,0.05011800889431252,0.08146759997823111,0.10906542627844051,6.0,0.5454545454545454,3.0,0.2727272727272727,3.0,0.2727272727272727,2.3855443044387e-09,0.02857142857142857,0.29090909090909095,0.05011800889431252,0.08146759997823107,0.1090654262784405
java-microservice,zookeeper,8,0.7272727272727273,0,0.0,8,0.7272727272727273,3.1109108440056706e-17,0.0,0.0,0.03430383697190369,0.18404104947371006,-0.0,8.0,0.7272727272727273,0.0,0.0,8.0,0.7272727272727273,3.1109108440056706e-17,0.0,0.0,0.03430383697190369,0.18404104947371008,-0.0
java-microservice,kafka,3,0.2727272727272727,2,0.18181818181818182,1,0.09090909090909091,4.592173025895716e-07,0.00909090909090909,0.25252525252525254,0.052148563181853486,0.0245898067715271,0.05000510700846782,3.0,0.2727272727272727,2.0,0.18181818181818182,1.0,0.09090909090909091,4.592173025895716e-07,0.00909090909090909,0.25252525252525254,0.052148563181853486,0.024589806771527112,0.05000510700846779
java-microservice,github-repository,1,0.09090909090909091,0,0.0,1,0.09090909090909091,3.1109108440056706e-17,0.0,0.0,0.03430383697190369,1.5735492378749583e-18,-0.0,1.0,0.09090909090909091,0.0,0.0,1.0,0.09090909090909091,3.1109108440056706e-17,0.0,0.0,0.03430383697190369,-2.0980656504999442e-18,-0.0
java-microservice,logstash,8,0.7272727272727273,8,0.7272727272727273,0,0.0,0.9999591120379211,0.0,0.7857142857142857,0.30781812163866284,-0.0,0.14904410382991826,8.0,0.7272727272727273,8.0,0.7272727272727273,0.0,0.0,0.9999591120379211,0.0,0.7857142857142857,0.30781812163866284,-0.0,0.14904410382991812
jhipster-microservices-example,blog,3,0.75,2,0.5,1,0.25,0.508792420940552,0.0,0.6666666666666666,0.2288308113938837,0.07265292451305849,0.2634462306963544,3.0,0.75,2.0,0.5,1.0,0.25,0.508792420940552,0.0,0.6666666666666666,0.2288308113938837,0.07265292451305846,0.26344623069635437
jhipster-microservices-example,jhipster-registry,8,2.0,4,1.0,4,1.0,0.6344553044127323,0.5833333333333333,0.8,0.3415171291111937,0.38250286520617083,0.38699080242818623,8.0,2.0,4.0,1.0,4.0,1.0,0.6344553044127323,0.5833333333333333,0.8,0.3415171291111937,0.3825028652061708,0.3869908024281864
jhipster-microservices-example,store,2,0.5,1,0.25,1,0.25,0.2823597200194308,0.0,0.5,0.10257269362977,0.1480250907372164,0.15962210336350038,2.0,0.5,1.0,0.25,1.0,0.25,0.2823597200194308,0.0,0.5,0.10257269362977,0.14802509073721645,0.1596221033635004
jhipster-microservices-example,github-repository,1,0.25,0,0.0,1,0.25,8.755132991548683e-10,0.0,0.0,0.030000000000000006,0.1480250907372164,-0.0,1.0,0.25,0.0,0.0,1.0,0.25,8.755132991548683e-10,0.0,0.0,0.030000000000000006,0.14802509073721645,-0.0
jhipster-microservices-example,user,4,1.0,2,0.5,2,0.5,0.508792420940552,0.16666666666666666,0.6666666666666666,0.2970793658651528,0.24879402880633786,0.18994086351195888,4.0,1.0,2.0,0.5,2.0,0.5,0.508792420940552,0.16666666666666666,0.6666666666666666,0.2970793658651528,0.24879402880633786,0.18994086351195882
micro_webshop,zuul,3,0.2727272727272727,2,0.18181818181818182,1,0.09090909090909091,0.7071093113978018,0.09090909090909091,0.4782608695652174,0.39418364659948796,4.0375701735057006e-18,1.386499046030073e-16,3.0,0.375,2.0,0.25,1.0,0.125,0.7071084898879564,0.125,0.5714285714285714,0.41492684265070234,2.6724265388739695e-17,-1.4616423122688763e-16
micro_webshop,eureka,7,0.6363636363636364,6,0.5454545454545454,1,0.09090909090909091,5.481923110155725e-06,0.16363636363636364,0.6136363636363636,0.10148437499999999,3.230056138804561e-17,0.5731230251490411,7.0,0.875,6.0,0.75,1.0,0.125,3.6913718872932827e-06,0.21428571428571427,0.75,0.09918750000000001,-3.563235385165293e-17,0.6204017721389311
micro_webshop,user-proxy,2,0.18181818181818182,0,0.0,2,0.18181818181818182,2.809801696645682e-09,0.0,0.0,0.0125,0.1616571578817699,-0.0,2.0,0.25,0.0,0.0,2.0,0.25,3.51224727620674e-09,0.0,0.0,0.01666666666666667,0.17819408002075632,0.0
micro_webshop,product-service,3,0.2727272727272727,2,0.18181818181818182,1,0.09090909090909091,1.4329988652892978e-07,0.02727272727272727,0.18181818181818182,0.026666666666666665,0.13351754918068287,0.15304396339383786,2.0,0.25,1.0,0.125,1.0,0.125,9.131842918137521e-08,0.0,0.125,0.021388888888888895,0.1512434012719,0.13452315241576254
micro_webshop,category-service,3,0.2727272727272727,2,0.18181818181818182,1,0.09090909090909091,1.4329988652892978e-07,0.02727272727272727,0.18181818181818182,0.026666666666666665,0.13351754918068287,0.1530439633938377,2.0,0.25,1.0,0.125,1.0,0.125,9.131842918137521e-08,0.0,0.125,0.021388888888888895,0.1512434012719,0.13452315241576254
micro_webshop,security-service,3,0.2727272727272727,2,0.18181818181818182,1,0.09090909090909091,1.4329988652892978e-07,0.02727272727272727,0.18181818181818182,0.0284375,0.13351754918068287,0.12078904806328311,2.0,0.25,1.0,0.125,1.0,0.125,9.131842918137521e-08,0.0,0.125,0.023750000000000004,0.1512434012719,0.11055192302954371
micro_webshop,product-proxy,3,0.2727272727272727,0,0.0,3,0.2727272727272727,2.809801696645682e-09,0.0,0.0,0.0125,0.2048252929375472,-0.0,3.0,0.375,0.0,0.0,3.0,0.375,3.51224727620674e-09,0.0,0.0,0.01666666666666667,0.2168323148916437,0.0
micro_webshop,auth-server,1,0.09090909090909091,0,0.0,1,0.09090909090909091,2.809801696645682e-09,0.0,0.0,0.0125,0.13351754918068287,-0.0,1.0,0.125,0.0,0.0,1.0,0.125,3.51224727620674e-09,0.0,0.0,0.01666666666666667,0.1512434012719,0.0
micro_webshop,database-product-service,1,0.09090909090909091,0,0.0,1,0.09090909090909091,2.809801696645682e-09,0.0,0.0,0.0125,0.03565387187843218,-0.0,,,,,,,,,,,,
micro_webshop,database-category-service,1,0.09090909090909091,0,0.0,1,0.09090909090909091,2.809801696645682e-09,0.0,0.0,0.0125,0.03565387187843214,-0.0,,,,,,,,,,,,
micro_webshop,database-security-service,1,0.09090909090909091,0,0.0,1,0.09090909090909091,2.809801696645682e-09,0.0,0.0,0.0125,0.028139608701087015,-0.0,,,,,,,,,,,,
micro_webshop,user,2,0.18181818181818182,1,0.09090909090909091,1,0.09090909090909091,0.7071042509449461,0.0,0.3333333333333333,0.3475611450671787,3.230056138804561e-17,1.7331238075375905e-17,2.0,0.25,1.0,0.125,1.0,0.125,0.7071050724713566,0.0,0.38095238095238093,0.3693578795715198,-3.563235385165293e-17,1.0962317342016571e-16
microservice,order,6,1.0,2,0.3333333333333333,4,0.6666666666666666,0.39223229971436085,0.02222222222222222,0.42857142857142855,0.11054484935358364,0.3876732910660467,0.22917905496133217,6.0,1.0,2.0,0.3333333333333333,4.0,0.6666666666666666,0.39223229971436085,0.02222222222222222,0.42857142857142855,0.11054484935358364,0.38767329106604664,0.22917905496133226
microservice,eureka,5,0.8333333333333333,4,0.6666666666666666,1,0.16666666666666666,0.5883481051461716,0.5,0.6666666666666666,0.2510596654103399,2.770862127753331e-18,0.20441727577991992,5.0,0.8333333333333333,4.0,0.6666666666666666,1.0,0.16666666666666666,0.5883481051461716,0.5,0.6666666666666666,0.2510596654103399,-0.0,0.20441727577991997
microservice,turbine,1,0.16666666666666666,0,0.0,1,0.16666666666666666,7.653897101502979e-08,0.0,0.0,0.021428571428571432,0.088846598480266,-0.0,1.0,0.16666666666666666,0.0,0.0,1.0,0.16666666666666666,7.653897101502979e-08,0.0,0.0,0.021428571428571432,0.088846598480266,-0.0
microservice,catalog,3,0.5,2,0.3333333333333333,1,0.16666666666666666,0.39223229971436085,0.02222222222222222,0.5,0.11054484935358364,0.088846598480266,0.22917905496133217,3.0,0.5,2.0,0.3333333333333333,1.0,0.16666666666666666,0.39223229971436085,0.02222222222222222,0.5,0.11054484935358364,0.088846598480266,0.22917905496133217
microservice,zuul,6,1.0,2,0.3333333333333333,4,0.6666666666666666,0.3922323762533319,0.6333333333333333,0.6,0.3088231222209186,0.3457869134931554,6.375169082504559e-18,6.0,1.0,2.0,0.3333333333333333,4.0,0.6666666666666666,0.3922323762533319,0.6333333333333333,0.6,0.3088231222209186,0.3457869134931553,-0.0
microservice,customer,3,0.5,2,0.3333333333333333,1,0.16666666666666666,0.39223229971436085,0.02222222222222222,0.5,0.11054484935358364,0.088846598480266,0.22917905496133217,3.0,0.5,2.0,0.3333333333333333,1.0,0.16666666666666666,0.39223229971436085,0.02222222222222222,0.5,0.11054484935358364,0.088846598480266,0.22917905496133217
microservice,user,2,0.3333333333333333,1,0.16666666666666666,1,0.16666666666666666,0.19611664736049203,0.0,0.4,0.08705409287941888,2.770862127753331e-18,0.10804555933608356,2.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.16666666666666666,0.19611664736049203,0.0,0.4,0.08705409287941888,-0.0,0.10804555933608356
microservice-consul,customer,3,0.6000000000000001,2,0.4,1,0.2,0.2891396150024189,0.0,0.44999999999999996,0.1293212700594241,0.10997437384888385,0.20785438479431356,3.0,0.6000000000000001,2.0,0.4,1.0,0.2,0.2891396150024189,0.0,0.44999999999999996,0.1293212700594241,0.10997437384888377,0.20785438479431362
microservice-consul,order,6,1.2000000000000002,2,0.4,4,0.8,0.2891396150024189,0.0,0.26666666666666666,0.1293212700594241,0.3673313179748109,0.20785438479431356,6.0,1.2000000000000002,2.0,0.4,4.0,0.8,0.2891396150024189,0.0,0.26666666666666666,0.1293212700594241,0.3673313179748109,0.20785438479431356
microservice-consul,catalog,3,0.6000000000000001,2,0.4,1,0.2,0.2891396150024189,0.0,0.44999999999999996,0.1293212700594241,0.10997437384888385,0.20785438479431356,3.0,0.6000000000000001,2.0,0.4,1.0,0.2,0.2891396150024189,0.0,0.44999999999999996,0.1293212700594241,0.10997437384888377,0.20785438479431356
microservice-consul,apache,6,1.2000000000000002,1,0.2,5,1.0,0.000929709372998132,0.2,0.2,0.16102921693153757,0.41271993432742154,-1.2800916838414056e-17,6.0,1.2000000000000002,1.0,0.2,5.0,1.0,0.000929709372998132,0.2,0.2,0.16102921693153757,0.41271993432742154,-1.0240733470731245e-16
microservice-consul,consul,4,0.8,4,0.8,0,0.0,0.8655594262612606,0.0,0.8333333333333334,0.34916633608381514,-0.0,0.2664624717681756,4.0,0.8,4.0,0.8,0.0,0.0,0.8655594262612606,0.0,0.8333333333333334,0.34916633608381514,-0.0,0.26646247176817545
microservice-consul,user,2,0.4,1,0.2,1,0.2,0.000929709372998132,0.0,0.2,0.1018406368063752,-5.2831935568810334e-18,0.1099743738488838,2.0,0.4,1.0,0.2,1.0,0.2,0.000929709372998132,0.0,0.2,0.1018406368063752,-4.226554845504826e-17,0.10997437384888391
microservice-kafka,invoicing,4,0.5714285714285714,3,0.42857142857142855,1,0.14285714285714285,0.49999625185731844,0.023809523809523808,0.6363636363636364,0.20967614801577927,0.02144619467413355,0.28525311928226005,4.0,0.5714285714285714,3.0,0.42857142857142855,1.0,0.14285714285714285,0.49999625185731844,0.023809523809523808,0.6363636363636364,0.20967614801577927,0.021446194674133542,0.28525311928226005
microservice-kafka,order,4,0.7142857142857142,3,0.42857142857142855,2,0.2857142857142857,2.711821727157851e-05,0.023809523809523808,0.3214285714285714,0.057493035518853854,0.1111604002589456,0.25399477715413354,4.0,0.7142857142857142,3.0,0.42857142857142855,2.0,0.2857142857142857,2.711821727157851e-05,0.023809523809523808,0.3214285714285714,0.057493035518853854,0.11116040025894564,0.25399477715413366
microservice-kafka,shipping,4,0.5714285714285714,3,0.42857142857142855,1,0.14285714285714285,0.49999625185731844,0.023809523809523808,0.6363636363636364,0.20967614801577927,0.02144619467413355,0.2852531192822601,4.0,0.5714285714285714,3.0,0.42857142857142855,1.0,0.14285714285714285,0.49999625185731844,0.023809523809523808,0.6363636363636364,0.20967614801577927,0.021446194674133542,0.28525311928226005
microservice-kafka,zookeeper,1,0.14285714285714285,0,0.0,1,0.14285714285714285,3.61866216366515e-25,0.0,0.0,0.018750000000000003,0.02144619467413355,-0.0,1.0,0.14285714285714285,0.0,0.0,1.0,0.14285714285714285,3.61866216366515e-25,0.0,0.0,0.018750000000000003,0.021446194674133542,-0.0
