MS_system,node,Degree Centrality (DB=True),Norm. Degree Centrality (DB=True),In-degree Centrality (DB=True),Norm. In-degree Centrality (DB=True),Out-degree Centrality (DB=True),Norm. Out-degree Centrality (DB=True),Eigenvector Centrality (DB=True),Betweenness Centrality (DB=True),Closeness Centrality (DB=True),PageRank Centrality (DB=True),Hub Score (DB=True),Authority Score (DB=True),Degree Centrality (DB=False),Norm. Degree Centrality (DB=False),In-degree Centrality (DB=False),Norm. In-degree Centrality (DB=False),Out-degree Centrality (DB=False),Norm. Out-degree Centrality (DB=False),Eigenvector Centrality (DB=False),Betweenness Centrality (DB=False),Closeness Centrality (DB=False),PageRank Centrality (DB=False),Hub Score (DB=False),Authority Score (DB=False)
Basilisk,benchmark-service,3,0.75,2,0.5,1,0.25,0.500000265487548,0.16666666666666666,0.5714285714285714,0.24594541923542032,3.9252311467094367e-17,0.5,2.0,1.0,1.0,0.5,1.0,0.5,0.5000000644180599,0.0,0.6666666666666666,0.25675708783778944,-0.4260358868217245,0.6493776877422248
Basilisk,repository-service,3,0.75,2,0.5,1,0.25,0.500000265487548,0.16666666666666666,0.5714285714285714,0.24594541923542032,3.9252311467094367e-17,0.5000000000000001,2.0,1.0,1.0,0.5,1.0,0.5,0.5000000644180599,0.0,0.6666666666666666,0.25675708783778944,-0.4260358868217245,0.6493776877422248
Basilisk,rabbitmq,4,1.0,2,0.5,2,0.5,0.7071064057294598,0.3333333333333333,0.6666666666666666,0.44810916152915964,0.49999999999999994,7.850462293418875e-17,4.0,2.0,2.0,1.0,2.0,1.0,0.707106690085642,1.0,1.0,0.48648582432442095,1.852071773643449,-0.2987553754844497
Basilisk,database-benchmark-service,1,0.25,0,0.0,1,0.25,7.509123813184332e-07,0.0,0.0,0.030000000000000006,0.24999999999999997,-0.0,,,,,,,,,,,,
Basilisk,database-repository-service,1,0.25,0,0.0,1,0.25,7.509123813184332e-07,0.0,0.0,0.030000000000000006,0.25,-0.0,,,,,,,,,,,,
blog-microservices,recommendation-service,2,0.2,1,0.1,1,0.1,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.09020693386306192,0.09461982226327793,2.0,0.2,1.0,0.1,1.0,0.1,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.09020693386306192,0.09461982226327795
blog-microservices,product-service,2,0.2,1,0.1,1,0.1,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.09020693386306192,0.0946198222632779,2.0,0.2,1.0,0.1,1.0,0.1,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.09020693386306192,0.09461982226327795
blog-microservices,review-service,2,0.2,1,0.1,1,0.1,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.09020693386306192,0.0946198222632779,2.0,0.2,1.0,0.1,1.0,0.1,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.09020693386306192,0.09461982226327795
blog-microservices,composite-service,2,0.2,1,0.1,1,0.1,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.09020693386306192,0.0946198222632779,2.0,0.2,1.0,0.1,1.0,0.1,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.09020693386306192,0.09461982226327795
blog-microservices,monitor-dashboard,2,0.2,2,0.2,0,0.0,1.4259683781261654e-06,0.0,0.2,0.054973197257599894,-0.0,0.12563361490496391,2.0,0.2,2.0,0.2,0.0,0.0,1.4259683781261654e-06,0.0,0.2,0.054973197257599894,-0.0,0.12563361490496386
blog-microservices,auth-server,1,0.1,1,0.1,0,0.0,9.834264676732177e-08,0.0,0.1,0.03857767966970804,-0.0,0.0946198222632779,1.0,0.1,1.0,0.1,0.0,0.0,9.834264676732177e-08,0.0,0.1,0.03857767966970804,-0.0,0.09461982226327795
blog-microservices,config-server,9,0.9,0,0.0,9,0.9,3.5122373845472056e-09,0.0,0.0,0.035248640650005,0.4462617565316429,-0.0,9.0,0.9,0.0,0.0,9.0,0.9,3.5122373845472056e-09,0.0,0.0,0.035248640650005,0.44626175653164296,-0.0
blog-microservices,turbine-server,3,0.30000000000000004,1,0.1,2,0.2,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.14627241152997109,0.0946198222632779,3.0,0.30000000000000004,1.0,0.1,2.0,0.2,9.834264676732177e-08,0.0,0.1,0.03857767966970804,0.14627241152997109,0.09461982226327795
blog-microservices,edge-server,3,0.30000000000000004,2,0.2,1,0.1,0.7071067829258826,0.011111111111111112,0.2,0.24698484713475471,-6.74001323440881e-20,0.10450838729406413,3.0,0.30000000000000004,2.0,0.2,1.0,0.1,0.7071067829258826,0.011111111111111112,0.2,0.24698484713475471,-0.0,0.1045083872940641
blog-microservices,discovery-server,6,0.6000000000000001,6,0.6000000000000001,0,0.0,6.736471303561539e-06,0.0,0.6,0.18613733796073467,-0.0,0.20213906422130454,6.0,0.6000000000000001,6.0,0.6000000000000001,0.0,0.0,6.736471303561539e-06,0.0,0.6,0.18613733796073467,-0.0,0.20213906422130448
blog-microservices,user,2,0.2,1,0.1,1,0.1,0.7071067794136452,0.0,0.13333333333333333,0.24518989897865762,0.04663809648613828,-1.5103273215236626e-19,2.0,0.2,1.0,0.1,1.0,0.1,0.7071067794136452,0.0,0.13333333333333333,0.24518989897865762,0.04663809648613828,-0.0
DentalAppointment,appointment-service,5,0.41666666666666663,3,0.25,2,0.16666666666666666,0.3162256219387967,0.045454545454545456,0.2976190476190476,0.11488011396218552,0.09526052255089847,0.2301223594173581,4.0,0.5714285714285714,2.0,0.2857142857142857,2.0,0.2857142857142857,0.31622881023464355,0.05952380952380952,0.3214285714285714,0.1259269288499131,0.14103340068569528,0.22442390192101053
DentalAppointment,approval-service,4,0.3333333333333333,2,0.16666666666666666,2,0.16666666666666666,0.15811262071745852,0.03787878787878788,0.1875,0.08061761370796437,0.17953757886640692,0.15461047373664932,3.0,0.42857142857142855,1.0,0.14285714285714285,2.0,0.2857142857142857,0.15811444281474257,0.0,0.19047619047619047,0.08836957908325967,0.2661047424398166,0.15207225179554798
DentalAppointment,hospital-manage-service,3,0.25,3,0.25,0,0.0,0.47434162360404014,0.0,0.34027777777777785,0.129442178006859,-0.0,0.19467618997369698,2.0,0.2857142857142857,2.0,0.2857142857142857,0.0,0.0,0.47434159436287127,0.0,0.38095238095238093,0.14188846307145925,-0.0,0.1904180519074094
DentalAppointment,gateway-service,6,0.5,1,0.08333333333333333,5,0.41666666666666663,0.1581125889106327,0.045454545454545456,0.08333333333333333,0.07861349789125072,0.36760292597431016,2.4061082630191005e-17,6.0,0.8571428571428571,1.0,0.14285714285714285,4.0,0.7142857142857142,0.15811444281474257,0.14285714285714285,0.14285714285714285,0.13973042272140337,0.5593120174332525,-3.587042680528573e-17
DentalAppointment,message-service,5,0.41666666666666663,3,0.25,2,0.16666666666666666,0.3162256219387967,0.06060606060606061,0.2976190476190476,0.11488011396218552,0.022488630797865873,0.23012235941735815,4.0,0.5714285714285714,2.0,0.2857142857142857,2.0,0.2857142857142857,0.31622881023464355,0.10714285714285714,0.3214285714285714,0.1259269288499131,0.03354983944123559,0.22442390192101053
DentalAppointment,personal-info-service,3,0.25,3,0.25,0,0.0,0.6324580387580196,0.0,0.3970588235294118,0.16490263812858327,-0.0,0.04952423143284256,2.0,0.2857142857142857,2.0,0.2857142857142857,0.0,0.0,0.632454378491099,0.0,0.39682539682539686,0.1716534911644957,-0.0,0.04746772038566755
DentalAppointment,database-appointment-service,1,0.08333333333333333,0,0.0,1,0.08333333333333333,1.1780305870669537e-09,0.0,0.0,0.03635359655212954,0.08976878943320346,-0.0,,,,,,,,,,,,
DentalAppointment,database-approval-service,1,0.08333333333333333,0,0.0,1,0.08333333333333333,1.1780305870669537e-09,0.0,0.0,0.03635359655212954,0.06031224039321318,-0.0,,,,,,,,,,,,
DentalAppointment,database-hospital-manage-service,1,0.08333333333333333,0,0.0,1,0.08333333333333333,1.1780305870669537e-09,0.0,0.0,0.03635359655212954,0.07594153801331537,-0.0,,,,,,,,,,,,
DentalAppointment,database-message-service,1,0.08333333333333333,0,0.0,1,0.08333333333333333,1.1780305870669537e-09,0.0,0.0,0.03635359655212954,0.08976878943320347,-0.0,,,,,,,,,,,,
DentalAppointment,database-personal-info-service,1,0.08333333333333333,0,0.0,1,0.08333333333333333,1.1780305870669537e-09,0.0,0.0,0.03635359655212954,0.01931898453758309,-0.0,,,,,,,,,,,,
DentalAppointment,user,2,0.16666666666666666,1,0.08333333333333333,1,0.08333333333333333,0.1581125889106327,0.0,0.08333333333333333,0.04971770072929993,9.386025180835175e-18,0.13281899544325204,2.0,0.2857142857142857,1.0,0.14285714285714285,1.0,0.14285714285714285,0.15811444281474257,0.0,0.14285714285714285,0.08836957908325967,-2.1266207842662112e-17,0.15207225179554798
DentalAppointment,mail-server,1,0.08333333333333333,1,0.08333333333333333,0,0.0,0.31622900406461213,0.0,0.23076923076923078,0.08517816085102418,-0.0,0.008125390578842862,1.0,0.14285714285714285,1.0,0.14285714285714285,0.0,0.0,0.3162272269429704,0.0,0.2857142857142857,0.11813460717629608,-0.0,0.009121920273806117
geocoder-microservices,geocoderlocal-service,3,0.375,2,0.25,1,0.125,0.23497890214664843,0.0,0.3828125,0.05930807302612387,0.07186581211274491,0.16391962803534313,3.0,0.375,2.0,0.25,1.0,0.125,0.23497890214664843,0.0,0.3828125,0.05930807302612387,0.07186581211274493,0.16391962803534313
geocoder-microservices,zuul-gateway,5,0.625,3,0.375,2,0.25,0.5765340294753317,0.30357142857142855,0.5104166666666667,0.2730709909276808,0.062111681442624585,0.13106190088708797,5.0,0.625,3.0,0.375,2.0,0.25,0.5765340294753317,0.30357142857142855,0.5104166666666667,0.2730709909276808,0.06211168144262455,0.131061900887088
