Metric,alpha,xmin,KS_statistic,GoF_p_value
Degree Centrality,1.551889371081185,1.0,0.24455898751161884,0.03483494821556105
In-degree Centrality,1.710577875856419,1.0,0.12891828131197058,0.05210209774617259
Out-degree Centrality,1.7776494154860916,1.0,0.10241683534968926,0.054446349443059844
