Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFunction,CountDeclMethodDefault,CountInput,CountOutput,CountSemicolon,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
File,"AsyncTaskInitializer.java",4,0,4,0,1,,,,,1,0,0,1,,1,1,1,,0,0,1,,,,,,17,4,13,10,1,0,,8,7,1,,1,,0,,,"0,00",1,1,0,,,6,,,,0,0,"0,00","0,00"
File,"AsyncTaskInitializer.java",3,0,3,0,1,,,,,1,0,0,1,,1,1,1,,0,0,1,,,,,,17,4,13,11,0,0,,8,8,0,,1,,0,,,"0,00",1,1,0,,,6,,,,0,0,"0,00","0,00"
File,"Candidate.java",0,0,0,0,0,,,,,1,0,0,0,,0,8,0,,0,0,0,,,,,,31,4,23,22,0,4,,14,14,0,,0,,0,,,"0,17",0,0,0,,,13,,,,0,0,"0,00","0,00"
File,"CandidateRepository.java",0,0,0,0,0,,,,,1,0,0,0,,0,0,0,,0,0,0,,,,,,7,2,5,4,0,0,,4,4,0,,0,,0,,,"0,00",0,0,0,,,3,,,,0,0,"0,00","0,00"
Unknown Annotation,"Column",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,00",,,,,,,,,,,,,
File,"Customer.java",0,0,0,0,0,,,,,1,0,0,0,,0,4,0,,0,0,0,,,,,,14,3,11,10,0,0,,8,8,0,,0,,0,,,"0,00",0,0,0,,,7,,,,0,0,"0,00","0,00"
File,"CustomerVo.java",0,0,0,0,0,,,,,1,0,0,0,,0,3,0,,0,0,0,,,,,,13,3,10,9,0,0,,7,7,0,,0,,0,,,"0,00",0,0,0,,,6,,,,0,0,"0,00","0,00"
File,"Driver.java",0,0,0,0,0,,,,,1,0,0,0,,0,4,0,,0,0,0,,,,,,14,3,11,10,0,0,,8,8,0,,0,,0,,,"0,00",0,0,0,,,7,,,,0,0,"0,00","0,00"
File,"DriverStatus.java",0,0,0,0,0,,,,,1,0,0,0,,0,6,0,,0,0,0,,,,,,27,4,23,22,0,0,,14,14,0,,0,,0,,,"0,00",0,0,0,,,13,,,,0,0,"0,00","0,00"
File,"DriverStatusRepo.java",0,0,0,0,0,,,,,1,0,0,0,,1,0,1,,0,0,0,,,,,,8,2,6,5,0,0,,5,5,0,,0,,0,,,"0,00",0,1,1,,,4,,,,0,0,"0,00","0,00"
File,"DriverStatusVo.java",0,0,0,0,0,,,,,1,0,0,0,,0,5,0,,0,0,0,,,,,,22,3,14,13,0,5,,11,11,0,,0,,0,,,"0,36",0,0,0,,,10,,,,0,0,"0,00","0,00"
