Metric,alpha,xmin,KS_statistic,GoF_p_value
Degree Centrality,1.5553398843587978,1.0,0.24245412628447618,0.03505274268242544
In-degree Centrality,1.7185117686571212,1.0,0.12593906495511575,0.05268383899122842
Out-degree Centrality,1.780883706142978,1.0,0.10123390000284227,0.054807291706801646
