Kind,Name,AvgCyclomatic,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,RatioCommentToCode,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLineCodeDecl,CountLineCodeExe,CountOutput,CountSemicolon,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
Unnamed Function,"(unnamed_function_1)",,,120,14,106,1,61,19,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,28,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,120,14,106,1,61,19,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,28,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,9,0,9,0,4,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,106,18,87,1,11,5,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,15,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,78,12,66,0,15,6,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,16,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,47,8,39,0,13,6,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,47,8,39,0,13,6,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,47,8,39,0,13,6,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,47,8,39,0,13,6,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,72,13,59,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,7,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,65,10,55,0,5,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,7,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,104,17,87,0,13,2,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,10,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,45,7,38,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,8,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,80,14,54,12,13,0,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,8,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,124,18,106,0,5,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,9,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,90,14,67,9,17,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,7,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,56,7,49,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,10,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,275,13,262,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,15,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,49,8,38,3,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,49,8,38,3,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,49,8,38,3,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,49,8,38,3,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,121,1,118,4,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,281,13,268,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,15,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,112,12,100,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,7,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,72,7,65,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,5,,,,,,,
Unnamed Function,"(unnamed_function_1)",,,73,10,63,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_10)",,,7,0,7,0,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_10).(unnamed_function_11)",,,3,0,3,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_12)",,,35,5,29,1,23,2,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_12)",,,7,0,7,0,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_12).(unnamed_function_13)",,,3,0,3,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_12).(unnamed_function_13)",,,3,0,3,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_12).(unnamed_function_14)",,,3,0,3,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_14)",,,7,0,7,0,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_14).(unnamed_function_15)",,,3,0,3,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,
