Kind,Name,AvgCyclomatic,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,RatioCommentToCode,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLineCodeDecl,CountLineCodeExe,CountOutput,CountSemicolon,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
File,"ApplicationTests.java",1,,60,9,51,3,33,27,13,,"0,06",9,0,9,1,,,,,1,0,0,3,3,3,2,3,,0,0,0,3,,41,16,,29,1,,0,,,3,,,,0,0,"0,00","0,00"
File,"ApplicationTests.java",1,,43,8,35,2,22,20,4,,"0,06",6,0,6,1,,,,,1,0,0,2,2,2,1,2,,0,0,0,2,,30,5,,19,1,,0,,,2,,,,0,0,"0,00","0,00"
File,"AsyncCallTests.java",1,,84,23,58,3,46,32,20,,"0,05",7,2,6,0,,,,,1,0,3,6,6,5,3,5,,0,2,0,3,,35,26,,40,1,,0,,,6,,,,0,0,"0,00","0,00"
File,"AuthserverApplication.java",1,,37,7,29,1,19,15,5,,"0,03",3,0,3,0,,,,,1,1,1,3,3,1,0,2,,0,0,0,2,,21,5,,16,1,,0,,,3,,,,0,0,"0,00","0,00"
File,"ConfigServerApplication.java",1,,27,5,22,0,17,16,3,,"0,00",5,1,4,0,,,,,1,1,1,1,1,0,0,1,,0,0,0,1,,19,3,,15,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"ConfigServerApplicationTests.java",1,,19,4,14,1,8,8,0,,"0,07",3,0,3,0,,,,,1,0,0,1,1,1,0,1,,0,0,0,1,,12,0,,6,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"CpuCruncherBean.java",2,,66,17,49,0,37,20,22,,"0,00",15,3,11,0,,,,,1,0,1,3,3,3,2,3,,0,0,0,3,,25,23,,30,4,,1,,,6,,,,0,0,"0,00","0,00"
File,"EurekaApplication.java",1,,17,4,13,0,8,7,1,,"0,00",3,0,3,0,,,,,1,1,0,1,1,0,0,1,,0,0,0,1,,10,1,,6,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"HystrixDashboardApplication.java",1,,40,8,31,1,20,15,6,,"0,03",3,0,3,0,,,,,1,1,1,4,4,2,0,3,,0,0,1,2,,21,6,,16,1,,0,,,4,,,,0,0,"0,00","0,00"
File,"LambdaServletFilter.java",1,,14,3,8,3,7,7,0,,"0,38",1,0,1,0,,,,,1,0,0,2,2,2,0,2,,0,0,0,2,,7,0,,4,1,,0,,,2,,,,0,0,"0,00","0,00"
File,"Product.java",1,,49,10,36,3,26,15,11,,"0,08",3,0,3,0,,,,,1,0,0,9,9,9,4,9,,0,0,0,9,,15,11,,16,1,,0,,,9,,,,0,0,"0,00","0,00"
File,"ProductAggregated.java",1,,70,14,49,7,37,23,17,,"0,14",5,0,4,0,,,,,1,0,0,9,9,7,6,7,,0,0,0,7,,23,21,,27,5,,1,,,13,,,,0,0,"0,00","0,00"
File,"ProductCompositeIntegration.java",2,,261,47,137,80,105,55,63,,"0,58",12,2,9,2,,,,,4,0,1,12,12,12,4,12,,0,4,0,8,,60,80,,86,3,,1,,,20,,,,0,0,"0,00","0,00"
File,"ProductCompositeService.java",2,,128,23,95,10,71,45,36,,"0,11",8,1,7,1,,,,,1,0,1,10,10,7,2,7,,0,3,0,4,,51,44,,58,3,,2,,,15,,,,0,0,"0,00","0,00"
File,"ProductCompositeServiceApplication.java",1,,45,9,35,1,23,19,6,,"0,03",4,1,3,0,,,,,1,1,1,3,3,1,0,2,,1,0,0,1,,27,6,,20,1,,0,,,3,,,,0,0,"0,00","0,00"
File,"ProductCompositeServiceApplicationTests.java",1,,21,4,16,1,9,9,0,,"0,06",3,0,3,0,,,,,1,0,0,1,1,1,0,1,,0,0,0,1,,14,0,,7,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"ProductService.java",1,,86,16,53,17,38,25,15,,"0,32",12,2,7,4,,,,,1,0,1,4,4,4,3,4,,0,1,0,3,,33,16,,32,2,,1,,,5,,,,0,0,"0,00","0,00"
File,"ProductServiceApplication.java",1,,33,8,24,1,17,14,5,,"0,04",4,1,3,0,,,,,1,1,1,2,2,0,0,1,,0,0,0,1,,18,5,,15,1,,0,,,2,,,,0,0,"0,00","0,00"
