MS_system,Microservice,CountDeclMethodPublic,Degree Centrality,Norm. Degree Centrality,In-degree Centrality,Norm. In-degree Centrality,Out-degree Centrality,Norm. Out-degree Centrality,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,PageRank Centrality,Hub Score,Authority Score,Clustering Coefficient
Basilisk,benchmark-service,47.0,2,1.0,1,0.5,1,0.5,0.5000000644180599,0.0,0.6666666666666666,0.2567570878377894,0.5117505712530815,-0.0240667383538761,0.0
Basilisk,repository-service,182.0,2,1.0,1,0.5,1,0.5,0.5000000644180599,0.0,0.6666666666666666,0.2567570878377894,0.5117505712530815,-0.024066738353876,0.0
DentalAppointment,appointment-service,36.0,4,0.6666666666666666,2,0.3333333333333333,2,0.3333333333333333,0.0020583801965412,0.0666666666666666,0.3333333333333333,0.1462027450118108,0.1586890078563186,0.2643796279639155,0.1666666666666666
DentalAppointment,approval-service,35.0,3,0.5,1,0.1666666666666666,2,0.3333333333333333,6.895746052064601e-06,0.0,0.1666666666666666,0.1025985907044627,0.2909882458502666,0.1676777632288382,0.3333333333333333
DentalAppointment,hospital-manage-service,31.0,2,0.3333333333333333,2,0.3333333333333333,0,0.0,0.4082523013934066,0.0,0.375,0.1647347828806263,-0.0,0.2204136492706464,0.5
DentalAppointment,message-service,21.0,4,0.6666666666666666,2,0.3333333333333333,2,0.3333333333333333,0.0020583801965412,0.1,0.3333333333333333,0.1462027450118108,0.0457589685035413,0.2643796279639155,0.0833333333333333
DentalAppointment,personal-info-service,60.0,2,0.3333333333333333,2,0.3333333333333333,0,0.0,0.8164908228647528,0.0,0.4444444444444444,0.2088899043065933,-0.0,0.0679426088072462,0.0
Tap-And-Eat-MicroServices,account-service,3.0,2,0.25,1,0.125,1,0.125,1.3267115142541952e-05,0.0,0.1666666666666666,0.0670743472812299,0.0966302976321467,0.0966302976321466,0.5
Tap-And-Eat-MicroServices,config-service,2.0,8,1.0,1,0.125,7,0.875,3.972172385559247e-08,0.125,0.125,0.1013250861657509,0.3203317631475987,4.6703719741028436e-17,0.1428571428571428
Tap-And-Eat-MicroServices,customer-service,3.0,2,0.25,1,0.125,1,0.125,1.3267115142541952e-05,0.0,0.1666666666666666,0.0670743472812299,0.0966302976321467,0.0966302976321467,0.5
Tap-And-Eat-MicroServices,discovery-service,2.0,7,0.875,7,0.875,0,0.0,0.999991220148512,0.0,0.8888888888888888,0.4034498030493021,-0.0,0.3016569343066442,0.1904761904761904
Tap-And-Eat-MicroServices,foodtray-service,17.0,4,0.5,1,0.125,3,0.375,1.3267115142541952e-05,0.0,0.1666666666666666,0.0670743472812299,0.1965167486916675,0.0966302976321467,0.4166666666666667
Tap-And-Eat-MicroServices,item-service,5.0,3,0.375,2,0.25,1,0.125,0.0029630155098586,0.0,0.28125,0.0860785829078783,0.0966302976321467,0.1559109375823843,0.5
Tap-And-Eat-MicroServices,price-service,5.0,3,0.375,2,0.25,1,0.125,0.0029630155098586,0.0,0.28125,0.0860785829078783,0.0966302976321467,0.1559109375823843,0.5
Tap-And-Eat-MicroServices,store-service,12.0,2,0.25,1,0.125,1,0.125,1.3267115142541952e-05,0.0,0.1666666666666666,0.0670743472812299,0.0966302976321467,0.0966302976321467,0.5
blog-microservices,auth-server,5.0,1,0.1111111111111111,1,0.1111111111111111,0,0.0,0.0007023429664178,0.0,0.1111111111111111,0.0706031153447921,-0.0,0.0953593623010901,0.0
blog-microservices,composite-service,38.0,2,0.2222222222222222,1,0.1111111111111111,1,0.1111111111111111,0.0007023429664178,0.0,0.1111111111111111,0.0706031153447921,0.09535936230109,0.0953593623010901,0.5
blog-microservices,discovery-server,3.0,6,0.6666666666666666,6,0.6666666666666666,0,0.0,0.9804707811193332,0.0,0.6666666666666666,0.3406584240800629,-0.0,0.205419595139483,0.1666666666666666
blog-microservices,edge-server,2.0,1,0.1111111111111111,1,0.1111111111111111,0,0.0,0.0007023429664178,0.0,0.1111111111111111,0.0706031153447921,-0.0,0.0953593623010901,0.0
blog-microservices,monitor-dashboard,2.0,2,0.2222222222222222,2,0.2222222222222222,0,0.0,0.1966560305970013,0.0,0.2222222222222222,0.1006092607598222,-0.0,0.1270648687528862,0.5
blog-microservices,product-service,5.0,2,0.2222222222222222,1,0.1111111111111111,1,0.1111111111111111,0.0007023429664178,0.0,0.1111111111111111,0.0706031153447921,0.09535936230109,0.0953593623010901,0.5
blog-microservices,recommendation-service,5.0,2,0.2222222222222222,1,0.1111111111111111,1,0.1111111111111111,0.0007023429664178,0.0,0.1111111111111111,0.0706031153447921,0.09535936230109,0.09535936230109,0.5
blog-microservices,review-service,5.0,2,0.2222222222222222,1,0.1111111111111111,1,0.1111111111111111,0.0007023429664178,0.0,0.1111111111111111,0.0706031153447921,0.09535936230109,0.0953593623010901,0.5
blog-microservices,turbine-server,1.0,3,0.3333333333333333,1,0.1111111111111111,2,0.2222222222222222,0.0007023429664178,0.0,0.1111111111111111,0.0706031153447921,0.1543450926882979,0.0953593623010901,0.3333333333333333
geocoder-microservices,configurator,1.0,6,0.8571428571428571,0,0.0,6,0.8571428571428571,1.0622610360367143e-10,0.0,0.0,0.0213383913223875,0.3687506403023267,-0.0,0.2333333333333333
geocoder-microservices,eureka-discovery,2.0,4,0.7142857142857142,4,0.5714285714285714,1,0.1428571428571428,0.6788384424918665,0.1904761904761904,0.6428571428571428,0.2568809581392712,0.0444102104491361,0.2198914350272547,0.35
