Degree,Degree Centrality,In-degree,In-degree Centrality,Out-degree,Out-degree Centrality,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,PageRank Centrality,Hub Score,Authority Score
train-ticket_v1.0.0_ts-order-other-service,springcloudmicroservices_api-gateway,microservices-basics-spring-boot_webservice-registry,spring-netflix-oss-microservices_discovery-service,train-ticket_v1.0.0_ts-admin-basic-info-service,java-microservice_config-server,microservice-kafka_shipping,microservice-kafka_order,microservices-basics-spring-boot_webservice-registry,spring-boot-microservices-workshop_discovery-server,qbike_position,geocoder-microservices_hystrix-dashboard
train-ticket_v1.0.0_ts-station-service,spring-boot-microservices-workshop_movie-catalog-service,train-ticket_v1.0.0_ts-route-service,springcloudmicroservices_serviceregistry,train-ticket_v0.0.1_ts-admin-basic-info-service,springcloudmicroservices_api-gateway,microservice-kafka_invoicing,microservice-kafka_invoicing,blog-microservices_discovery-server,qbike_eureka,spring-cloud-movie-recommendation_config-service,microservices-basics-spring-boot_zipkin-tracing
spring-boot-microservices_configserver,sample-spring-cloud-webflux_discovery-service,train-ticket_v1.0.0_ts-train-service,java-microservice_eureka-server,train-ticket_v1.0.0_ts-cancel-service,DentalAppointment_gateway-service,spring-boot-microservices_api-gateway,microservice-kafka_shipping,springcloudmicroservices_serviceregistry,DentalAppointment_mail-server,Tap-And-Eat-MicroServices_config-service,DentalAppointment_appointment-service
spring-netflix-oss-microservices_config-server,sample-spring-cloud-webflux_gateway-service,spring-boot-microservices_webservice-registry,java-microservice_logstash,train-ticket_v0.0.1_ts-travel-service,microservice-kafka_kafka,microservices-basics-spring-boot_api-gateway,qbike_eureka,qbike_rabbit,qbike_qbike-order,spring-boot-microservices-workshop_movie-catalog-service,spring-netflix-oss-microservices_discovery-service
Tap-And-Eat-MicroServices_config-service,website_registry,spring-netflix-oss-microservices_discovery-service,microservice-kafka_order,train-ticket_v0.0.1_ts-travel2-service,sample-spring-cloud-webflux_gateway-service,spring-netflix-oss-microservices_discovery-service,DentalAppointment_message-service,spring-netflix-oss-microservices_discovery-service,qbike_rabbit,jhipster-microservices-example_jhipster-registry,blog-microservices_edge-server
train-ticket_v1.0.0_ts-basic-service,spring-boot-microservices-workshop_discovery-server,blog-microservices_discovery-server,jhipster-microservices-example_store,train-ticket_v0.0.1_ts-seat-service,microservice-consul_order,piggymetrics_rabbitmq,microservices-basics-spring-boot_configserver,DentalAppointment_personal-info-service,spring-boot-microservices_webservice-registry,micro_webshop_auth-server,blog-microservices_auth-server
train-ticket_v1.0.0_ts-travel2-service,website_gateway,train-ticket_v0.0.1_ts-seat-service,DentalAppointment_personal-info-service,train-ticket_v0.0.1_ts-cancel-service,jhipster-microservices-example_github-repository,microservice_eureka,train-ticket_v0.0.1_ts-notification-service,jhipster-microservices-example_store,piggymetrics_rabbitmq,geocoder-microservices_configurator,microservice_eureka
piggymetrics_config,microservice-kafka_shipping,piggymetrics_registry,sample-spring-cloud-webflux_discovery-service,train-ticket_v1.0.0_ts-admin-travel-service,jhipster-microservices-example_store,DentalAppointment_mail-server,train-ticket_v1.0.0_ts-consign-service,sample-spring-cloud-webflux_discovery-service,microservices-basics-spring-boot_webservice-registry,microservice_turbine,microservices-basics-spring-boot_webservice-registry
train-ticket_v0.0.1_ts-rebook-service,jhipster-microservices-example_store,train-ticket_v0.0.1_ts-route-service,website_registry,spring-cloud-movie-recommendation_config-service,website_gateway,train-ticket_v0.0.1_ts-station-service,train-ticket_v0.0.1_ts-consign-service,website_registry,spring-netflix-oss-microservices_rabbitmq,qbike_zipkin,DentalAppointment_personal-info-service
java-microservice_config-server,microservice-kafka_invoicing,train-ticket_v0.0.1_ts-ticketinfo-service,jhipster-microservices-example_blog,train-ticket_v1.0.0_ts-travel-plan-service,sample-spring-microservices-new_config-service,springcloudmicroservices_serviceregistry,train-ticket_v1.0.0_ts-notification-service,java-microservice_logstash,jhipster-microservices-example_github-repository,scaffold-cloud_scaffold-txmanager,spring-netflix-oss-microservices_rabbitmq
java-microservice_eureka-server,geocoder-microservices_configurator,microservice-kafka_kafka,spring-cloud-movie-recommendation_eureka-service,sample-spring-microservices-new_config-service,train-ticket_v1.0.0_ts-preserve-other-service,train-ticket_v0.0.1_ts-train-service,qbike_mysql,piggymetrics_rabbitmq,qbike_mysql,scaffold-cloud_scaffold-business-thirdparty-service,train-ticket_v1.0.0_ts-contacts-service
java-microservice_admin,microservices-basics-spring-boot_webservice-registry,qbike_mysql,qbike_mysql,train-ticket_v0.0.1_ts-basic-service,train-ticket_v1.0.0_ts-preserve-service,geocoder-microservices_eureka-discovery,scaffold-cloud_scaffold-zuul,spring-cloud-movie-recommendation_eureka-service,blog-microservices_edge-server,scaffold-cloud_scaffold-business-job-service,train-ticket_v1.0.0_ts-user-service
qbike_rabbit,geocoder-microservices_auth-service,train-ticket_v0.0.1_ts-train-service,piggymetrics_rabbitmq,train-ticket_v1.0.0_ts-basic-service,DentalAppointment_message-service,spring-cloud-movie-recommendation_eureka-service,qbike_microservice-api-gateway,java-microservice_eureka-server,blog-microservices_auth-server,scaffold-cloud_scaffold-business-sys-service,train-ticket_v0.0.1_ts-notification-service
micro_webshop_eureka,DentalAppointment_message-service,qbike_eureka,qbike_eureka,train-ticket_v1.0.0_ts-travel-service,java-microservice_admin,piggymetrics_registry,scaffold-cloud_scaffold-route-openapi,qbike_eureka,spring-netflix-oss-microservices_discovery-service,scaffold-cloud_scaffold-route-openapi,train-ticket_v1.0.0_ts-assurance-service
train-ticket_v0.0.1_ts-ticketinfo-service,microservice-consul_apache,train-ticket_v1.0.0_ts-basic-service,DentalAppointment_message-service,train-ticket_v1.0.0_ts-travel2-service,sample-spring-microservices-new_organization-service,sample-spring-cloud-webflux_discovery-service,piggymetrics_mail-server,microservice-kafka_order,DentalAppointment_message-service,scaffold-cloud_scaffold-route-operate,train-ticket_v1.0.0_ts-consign-service
spring-boot-microservices_webservice-registry,microservice-consul_order,train-ticket_v1.0.0_ts-travel2-service,piggymetrics_registry,train-ticket_v0.0.1_ts-route-plan-service,sample-spring-microservices-new_gateway-service,website_registry,Basilisk_repository-service,qbike_microservice-api-gateway,train-ticket_v1.0.0_ts-station-service,qbike_api-gateway,piggymetrics_rabbitmq
spring-netflix-oss-microservices_discovery-service,microservice-consul_consul,piggymetrics_statistics-service,sample-spring-microservices-new_employee-service,DentalAppointment_gateway-service,train-ticket_v0.0.1_ts-preserve-other-service,spring-netflix-oss-microservices_rabbitmq,scaffold-cloud_scaffold-route-operate,qbike_mysql,microservice_eureka,scaffold-cloud_scaffold-route-app,train-ticket_v0.0.1_ts-consign-service
Tap-And-Eat-MicroServices_discovery-service,sample-spring-microservices-new_gateway-service,microservice_eureka,geocoder-microservices_eureka-discovery,piggymetrics_gateway,train-ticket_v0.0.1_ts-preserve-service,train-ticket_v0.0.1_ts-sso-service,scaffold-cloud_scaffold-business-sys-service,piggymetrics_registry,Tap-And-Eat-MicroServices_github-repository,train-ticket_v1.0.0_ts-preserve-other-service,blog-microservices_discovery-server
java-microservice_zookeeper,sample-spring-microservices-new_organization-service,java-microservice_mailer,spring-netflix-oss-microservices_rabbitmq,piggymetrics_auth-service,microservice_turbine,train-ticket_v0.0.1_ts-route-service,scaffold-cloud_scaffold-txmanager,DentalAppointment_mail-server,micro_webshop_auth-server,train-ticket_v1.0.0_ts-preserve-service,train-ticket_v0.0.1_ts-train-service
piggymetrics_registry,sample-spring-microservices-new_employee-service,geocoder-microservices_eureka-discovery,train-ticket_v0.0.1_ts-sso-service,microservice-consul_apache,microservice_order,sample-spring-cloud-webflux_gateway-service,scaffold-cloud_scaffold-business-job-service,geocoder-microservices_eureka-discovery,microservices-basics-spring-boot_zipkin-tracing,train-ticket_v1.0.0_ts-admin-basic-info-service,train-ticket_v0.0.1_ts-station-service
java-microservice_logstash,sample-spring-microservices-new_department-service,spring-cloud-movie-recommendation_eureka-service,train-ticket_v0.0.1_ts-station-service,sample-spring-microservices-new_organization-service,microservice_zuul,website_gateway,scaffold-cloud_scaffold-business-thirdparty-service,qbike_qbike-order,spring-boot-microservices_github-repository,piggymetrics_external-website,train-ticket_v1.0.0_ts-price-service
microservice-kafka_kafka,qbike_rabbit,microservice-consul_consul,DentalAppointment_appointment-service,sample-spring-microservices-new_gateway-service,DentalAppointment_appointment-service,train-ticket_v0.0.1_ts-config-service,train-ticket_v1.0.0_mail-server,piggymetrics_mail-server,microservices-basics-spring-boot_github-repository,spring-netflix-oss-microservices_rabbitmq,train-ticket_v1.0.0_ts-station-service
train-ticket_v0.0.1_ts-inside-payment-service,spring-netflix-oss-microservices_discovery-service,sample-spring-microservices-new_employee-service,sample-spring-microservices-new_zipkin,train-ticket_v0.0.1_ts-register-service,spring-cloud-movie-recommendation_github-repository,sample-spring-microservices-new_zipkin,spring-boot-microservices_github-repository,sample-spring-cloud-webflux_gateway-service,piggymetrics_mail-server,train-ticket_v0.0.1_ts-preserve-other-service,piggymetrics_mail-server
microservices-basics-spring-boot_webservice-registry,java-microservice_config-server,sample-spring-microservices-new_zipkin,sample-spring-microservices-new_discovery-service,microservice-kafka_apache,microservice-kafka_zookeeper,piggymetrics_mail-server,qbike_qbike-uc,website_gateway,scaffold-cloud_scaffold-txmanager,piggymetrics_config,DentalAppointment_mail-server
train-ticket_v1.0.0_ts-rebook-service,microservice-kafka_postgres,sample-spring-microservices-new_discovery-service,DentalAppointment_mail-server,microservice-kafka_postgres,microservice-kafka_order,train-ticket_v0.0.1_ts-order-service,qbike_zipkin,train-ticket_v0.0.1_ts-sso-service,scaffold-cloud_scaffold-business-thirdparty-service,train-ticket_v1.0.0_ts-admin-route-service,train-ticket_v0.0.1_ts-config-service
train-ticket_v1.0.0_ts-train-service,DentalAppointment_appointment-service,train-ticket_v1.0.0_ts-contacts-service,piggymetrics_statistics-service,train-ticket_v1.0.0_ts-food-service,microservice-kafka_shipping,train-ticket_v0.0.1_ts-order-other-service,qbike_api-gateway,train-ticket_v0.0.1_ts-station-service,scaffold-cloud_scaffold-business-sys-service,train-ticket_v0.0.1_ts-admin-basic-info-service,train-ticket_v1.0.0_ts-config-service
blog-microservices_discovery-server,microservice-kafka_order,train-ticket_v1.0.0_ts-user-service,geocoder-microservices_auth-service,train-ticket_v1.0.0_ts-seat-service,microservice-kafka_invoicing,spring-netflix-oss-microservices_turbine,qbike_order,sample-spring-microservices-new_employee-service,scaffold-cloud_scaffold-route-openapi,train-ticket_v0.0.1_ts-preserve-service,train-ticket_v1.0.0_ts-notification-service
train-ticket_v1.0.0_ts-route-service,blog-microservices_discovery-server,microservice-kafka_shipping,train-ticket_v1.0.0_ts-station-service,train-ticket_v0.0.1_ts-inside-payment-service,geocoder-microservices_auth-service,spring-cloud-movie-recommendation_recommendation-client,qbike_position,train-ticket_v1.0.0_ts-station-service,scaffold-cloud_scaffold-route-operate,sample-spring-cloud-webflux_gateway-service,train-ticket_v0.0.1_ts-verification-code-service
piggymetrics_statistics-service,microservice-kafka_apache,microservice-kafka_invoicing,train-ticket_v1.0.0_ts-order-service,train-ticket_v0.0.1_ts-food-service,qbike_uc,train-ticket_v0.0.1_ts-basic-service,qbike_intention,sample-spring-microservices-new_zipkin,scaffold-cloud_scaffold-business-job-service,train-ticket_v0.0.1_ts-execute-service,train-ticket_v0.0.1_ts-food-map-service
piggymetrics_notification-service,spring-cloud-movie-recommendation_recommendation-client,piggymetrics_rabbitmq,micro_webshop_zuul,train-ticket_v1.0.0_ts-inside-payment-service,qbike_order,geocoder-microservices_auth-service,qbike_uc,DentalAppointment_message-service,scaffold-cloud_scaffold-route-app,train-ticket_v0.0.1_ts-admin-order-service,train-ticket_v0.0.1_ts-payment-service
geocoder-microservices_configurator,spring-cloud-movie-recommendation_eureka-service,train-ticket_v0.0.1_ts-notification-service,geocoder-microservices_hystrix-dashboard,spring-netflix-oss-microservices_turbine,qbike_position,spring-netflix-oss-microservices_edge-server,spring-boot-microservices_configserver,spring-cloud-movie-recommendation_recommendation-client,java-microservice_github-repository,train-ticket_v1.0.0_ts-admin-order-service,train-ticket_v1.0.0_ts-payment-service
spring-cloud-movie-recommendation_config-service,piggymetrics_config,train-ticket_v0.0.1_ts-inside-payment-service,train-ticket_v1.0.0_ts-order-other-service,piggymetrics_notification-service,qbike_intention,train-ticket_v0.0.1_ts-ticketinfo-service,train-ticket_v1.0.0_ts-execute-service,springcloudmicroservices_api-gateway,train-ticket_v1.0.0_ts-station-food-service,train-ticket_v1.0.0_ts-execute-service,train-ticket_v1.0.0_ts-station-food-service
geocoder-microservices_auth-service,java-microservice_admin,train-ticket_v0.0.1_ts-price-service,microservices-basics-spring-boot_zipkin-tracing,geocoder-microservices_auth-service,spring-cloud-movie-recommendation_recommendation-client,train-ticket_v0.0.1_ts-price-service,spring-cloud-movie-recommendation_github-repository,spring-netflix-oss-microservices_rabbitmq,microservice-kafka_order,train-ticket_v0.0.1_ts-admin-travel-service,train-ticket_v1.0.0_ts-train-food-service
java-microservice_reminder,java-microservice_eureka-server,train-ticket_v0.0.1_ts-contacts-service,blog-microservices_edge-server,java-microservice_reminder,train-ticket_v1.0.0_ts-admin-basic-info-service,springcloudmicroservices_api-gateway,train-ticket_v0.0.1_ts-execute-service,train-ticket_v0.0.1_ts-train-service,train-ticket_v0.0.1_ts-train-service,piggymetrics_rabbitmq,micro_webshop_zuul
java-microservice_mailer,java-microservice_zookeeper,piggymetrics_notification-service,blog-microservices_auth-server,springcloudmicroservices_api-gateway,micro_webshop_auth-server,piggymetrics_statistics-service,train-ticket_v1.0.0_ts-user-service,geocoder-microservices_auth-service,spring-netflix-oss-microservices_monitor,spring-netflix-oss-microservices_monitor,scaffold-cloud_scaffold-zuul
train-ticket_v0.0.1_ts-travel-plan-service,DentalAppointment_gateway-service,geocoder-microservices_auth-service,train-ticket_v0.0.1_ts-order-other-service,spring-boot-microservices-workshop_movie-catalog-service,spring-netflix-oss-microservices_turbine,piggymetrics_notification-service,train-ticket_v1.0.0_ts-consign-price-service,sample-spring-microservices-new_discovery-service,spring-netflix-oss-microservices_github-repository,train-ticket_v0.0.1_ts-register-service,qbike_microservice-api-gateway
piggymetrics_gateway,microservice_order,piggymetrics_account-service,train-ticket_v0.0.1_ts-order-service,train-ticket_v1.0.0_ts-route-plan-service,train-ticket_v0.0.1_ts-admin-basic-info-service,piggymetrics_turbine-stream-service,train-ticket_v1.0.0_ts-food-delivery-service,piggymetrics_statistics-service,train-ticket_v1.0.0_mail-server,train-ticket_v0.0.1_ts-login-service,train-ticket_v0.0.1_mail-server
piggymetrics_auth-service,microservice_zuul,java-microservice_reminder,train-ticket_v0.0.1_ts-train-service,micro_webshop_product-proxy,Tap-And-Eat-MicroServices_github-repository,train-ticket_v0.0.1_ts-travel-service,train-ticket_v1.0.0_ts-admin-basic-info-service,piggymetrics_turbine-stream-service,train-ticket_v1.0.0_ts-consign-price-service,train-ticket_v0.0.1_ts-admin-user-service,train-ticket_v1.0.0_mail-server
sample-spring-microservices-new_employee-service,geocoder-microservices_eureka-discovery,springcloudmicroservices_serviceregistry,java-microservice_mailer,spring-cloud-movie-recommendation_recommendation-client,spring-boot-microservices_github-repository,train-ticket_v0.0.1_ts-seat-service,train-ticket_v1.0.0_ts-train-food-service,train-ticket_v1.0.0_ts-order-other-service,train-ticket_v0.0.1_mail-server,spring-netflix-oss-microservices_turbine,spring-cloud-movie-recommendation_github-repository
sample-spring-microservices-new_gateway-service,piggymetrics_rabbitmq,spring-boot-microservices-workshop_discovery-server,scaffold-cloud_scaffold-zuul,microservice_zuul,microservices-basics-spring-boot_github-repository,train-ticket_v0.0.1_ts-travel2-service,train-ticket_v1.0.0_ts-station-food-service,train-ticket_v1.0.0_ts-order-service,train-ticket_v1.0.0_ts-config-service,train-ticket_v0.0.1_ts-admin-route-service,microservices-basics-spring-boot_github-repository
sample-spring-microservices-new_department-service,piggymetrics_statistics-service,geocoder-microservices_geocoderremote-service,geocoder-microservices_geocoderremote-service,microservice-consul_order,scaffold-cloud_scaffold-business-sys-service,train-ticket_v1.0.0_ts-config-service,train-ticket_v1.0.0_ts-price-service,DentalAppointment_appointment-service,qbike_zipkin,train-ticket_v1.0.0_ts-food-delivery-service,spring-boot-microservices_github-repository
sample-spring-microservices-new_organization-service,piggymetrics_notification-service,java-microservice_api-gateway,piggymetrics_mail-server,Tap-And-Eat-MicroServices_foodtray-service,spring-netflix-oss-microservices_monitor,train-ticket_v1.0.0_ts-price-service,train-ticket_v1.0.0_ts-assurance-service,train-ticket_v0.0.1_ts-order-service,qbike_uc,Tap-And-Eat-MicroServices_github-repository,scaffold-cloud_scaffold-route-app
train-ticket_v0.0.1_ts-admin-basic-info-service,java-microservice_logstash,java-microservice_oauth,train-ticket_v1.0.0_ts-user-service,microservice_order,spring-netflix-oss-microservices_github-repository,geocoder-microservices_zuul-gateway,train-ticket_v1.0.0_ts-config-service,train-ticket_v0.0.1_ts-order-other-service,qbike_intention,train-ticket_v0.0.1_ts-notification-service,scaffold-cloud_scaffold-route-operate
train-ticket_v1.0.0_ts-admin-basic-info-service,qbike_eureka,sample-spring-microservices-new_department-service,train-ticket_v1.0.0_ts-contacts-service,sample-spring-microservices-new_department-service,scaffold-cloud_scaffold-route-openapi,blog-microservices_edge-server,train-ticket_v1.0.0_ts-contacts-service,train-ticket_v1.0.0_ts-config-service,qbike_api-gateway,java-microservice_github-repository,scaffold-cloud_scaffold-route-openapi
train-ticket_v1.0.0_ts-food-service,spring-netflix-oss-microservices_turbine,train-ticket_v1.0.0_ts-assurance-service,train-ticket_v0.0.1_ts-notification-service,train-ticket_v0.0.1_ts-login-service,spring-netflix-oss-microservices_rabbitmq,blog-microservices_auth-server,train-ticket_v0.0.1_mail-server,java-microservice_mailer,qbike_order,train-ticket_v1.0.0_ts-notification-service,piggymetrics_external-website
qbike_eureka,jhipster-microservices-example_blog,Basilisk_rabbitmq,qbike_microservice-api-gateway,train-ticket_v1.0.0_ts-admin-route-service,scaffold-cloud_scaffold-route-operate,qbike_qbike-order,train-ticket_v0.0.1_ts-admin-route-service,microservices-basics-spring-boot_zipkin-tracing,qbike_position,blog-microservices_auth-server,qbike_qbike-order
train-ticket_v0.0.1_ts-basic-service,jhipster-microservices-example_github-repository,train-ticket_v1.0.0_ts-config-service,qbike_qbike-order,train-ticket_v1.0.0_ts-execute-service,scaffold-cloud_scaffold-txmanager,microservice-kafka_order,train-ticket_v0.0.1_ts-admin-travel-service,geocoder-microservices_hystrix-dashboard,qbike_qbike-uc,train-ticket_v1.0.0_ts-price-service,scaffold-cloud_scaffold-business-sys-service
train-ticket_v1.0.0_ts-cancel-service,DentalAppointment_personal-info-service,jhipster-microservices-example_jhipster-registry,piggymetrics_notification-service,Basilisk_rabbitmq,scaffold-cloud_scaffold-business-thirdparty-service,jhipster-microservices-example_github-repository,train-ticket_v0.0.1_ts-admin-order-service,microservice_zuul,train-ticket_v0.0.1_ts-consign-price-service,train-ticket_v0.0.1_ts-train-service,scaffold-cloud_scaffold-business-job-service
train-ticket_v0.0.1_ts-route-service,sample-spring-microservices-new_config-service,train-ticket_v0.0.1_ts-verification-code-service,train-ticket_v0.0.1_ts-travel-service,train-ticket_v1.0.0_ts-admin-order-service,scaffold-cloud_scaffold-business-job-service,train-ticket_v0.0.1_mail-server,train-ticket_v0.0.1_ts-payment-service,train-ticket_v0.0.1_ts-config-service,microservice_turbine,blog-microservices_edge-server,qbike_qbike-uc
train-ticket_v0.0.1_ts-food-service,sample-spring-microservices-new_discovery-service,microservice-kafka_order,sample-spring-microservices-new_department-service,train-ticket_v0.0.1_ts-admin-order-service,scaffold-cloud_scaffold-route-app,train-ticket_v0.0.1_ts-payment-service,spring-netflix-oss-microservices_github-repository,train-ticket_v1.0.0_ts-price-service,train-ticket_v1.0.0_ts-price-service,piggymetrics_mail-server,qbike_uc
train-ticket_v1.0.0_ts-inside-payment-service,piggymetrics_registry,train-ticket_v0.0.1_ts-config-service,train-ticket_v1.0.0_ts-seat-service,microservice-kafka_kafka,java-microservice_github-repository,train-ticket_v0.0.1_ts-food-map-service,train-ticket_v0.0.1_ts-consign-price-service,piggymetrics_notification-service,microservice-consul_consul,qbike_microservice-api-gateway,qbike_intention
spring-netflix-oss-microservices_turbine,qbike_mysql,DentalAppointment_personal-info-service,train-ticket_v1.0.0_ts-assurance-service,qbike_position,micro_webshop_product-proxy,train-ticket_v0.0.1_ts-consign-price-service,train-ticket_v0.0.1_ts-admin-basic-info-service,train-ticket_v0.0.1_ts-route-service,geocoder-microservices_hystrix-dashboard,train-ticket_v1.0.0_ts-assurance-service,qbike_position
train-ticket_v0.0.1_ts-cancel-service,java-microservice_mailer,train-ticket_v1.0.0_ts-station-food-service,train-ticket_v1.0.0_ts-config-service,qbike_order,piggymetrics_rabbitmq,microservices-basics-spring-boot_zipkin-tracing,train-ticket_v0.0.1_ts-register-service,blog-microservices_auth-server,train-ticket_v0.0.1_ts-verification-code-service,DentalAppointment_mail-server,qbike_order
train-ticket_v1.0.0_ts-admin-travel-service,java-microservice_reminder,train-ticket_v1.0.0_ts-price-service,train-ticket_v1.0.0_ts-station-food-service,qbike_uc,piggymetrics_external-website,qbike_rabbit,train-ticket_v0.0.1_ts-verification-code-service,blog-microservices_edge-server,train-ticket_v0.0.1_ts-sso-service,qbike_mysql,qbike_api-gateway
