Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFunction,CountDeclMethodDefault,CountInput,CountOutput,CountSemicolon,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
Method,"$a.prototype.additive",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,3,0,3,2,,,1,,,,2,,,,,,,,,,,,
Method,"$a.prototype.arrayDeclaration",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,13,2,12,4,,,3,,,,6,,,,,,,,,,,,
Unnamed Function,"$a.prototype.arrayDeclaration.(unnamed_function_272)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,3,0,3,2,,,1,,,,2,,,,,,,,,,,,
Method,"$a.prototype.assignment",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,3,1,3,2,,,0,,,,3,,,,,,,,,,,,
Unnamed Function,"$a.prototype.assignment.(unnamed_function_267)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Method,"$a.prototype.binaryFn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,2,0,2,1,,,0,,,,2,,,,,,,,,,,,
Unnamed Function,"$a.prototype.binaryFn.(unnamed_function_264)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Method,"$a.prototype.consume",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Method,"$a.prototype.equality",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,4,1,4,2,,,1,,,,2,,,,,,,,,,,,
Method,"$a.prototype.expect",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,2,,,0,,,,2,,,,,,,,,,,,
Method,"$a.prototype.expression",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
