Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFunction,CountDeclMethodDefault,CountInput,CountOutput,CountSemicolon,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
File,"Config.java",5,0,5,0,1,,,,,1,0,0,1,,1,0,1,,0,0,0,,,,,,26,4,13,10,1,9,,8,7,1,,1,,0,,,"0,69",1,1,1,,,6,,,,0,0,"0,00","0,00"
File,"ConfigServiceApplication.java",3,0,3,0,1,,,,,1,1,0,1,,0,0,1,,0,0,1,,,,,,14,3,11,8,1,0,,7,6,1,,1,,0,,,"0,00",1,1,0,,,5,,,,0,0,"0,00","0,00"
File,"ConfigServiceApplicationTests.java",3,0,3,0,1,,,,,1,0,0,1,,1,0,1,,0,0,1,,,,,,16,4,12,10,0,0,,7,7,0,,1,,0,,,"0,00",1,1,0,,,5,,,,0,0,"0,00","0,00"
File,"EurekaServiceApplication.java",3,0,3,0,1,,,,,1,1,0,1,,0,0,1,,0,0,1,,,,,,14,3,11,8,1,0,,7,6,1,,1,,0,,,"0,00",1,1,0,,,5,,,,0,0,"0,00","0,00"
File,"EurekaServiceApplicationTests.java",3,0,3,0,1,,,,,1,0,0,1,,1,0,1,,0,0,1,,,,,,16,4,12,10,0,0,,7,7,0,,1,,0,,,"0,00",1,1,0,,,5,,,,0,0,"0,00","0,00"
File,"MainController.java",8,0,8,0,1,,,,,1,0,0,3,,3,2,3,,0,0,3,,,,,,71,8,54,37,14,10,,41,30,12,,2,,1,,,"0,19",4,3,0,,,36,,,,0,0,"0,00","0,00"
File,"MongoConfig.java",4,0,4,0,1,,,,,1,0,0,2,,2,0,2,,0,1,1,,,,,,30,5,16,11,2,9,,10,8,2,,1,,0,,,"0,56",2,2,0,,,7,,,,0,0,"0,00","0,00"
File,"Movie.java",3,0,3,0,1,,,,,1,0,0,10,,10,4,10,,0,0,10,,,,,,75,18,48,26,11,9,,32,21,11,,1,,0,,,"0,19",10,10,0,,,21,,,,0,0,"0,00","0,00"
File,"Movie.java",3,0,3,0,1,,,,,1,0,0,11,,11,4,11,,0,0,11,,,,,,81,18,54,26,16,9,,38,22,16,,1,,0,,,"0,17",11,11,0,,,26,,,,0,0,"0,00","0,00"
File,"MovieController.java",10,0,10,0,1,,,,,1,0,0,5,,4,1,4,,0,0,4,,,,,,83,8,66,29,36,9,,49,22,31,,1,,0,,,"0,14",5,5,0,,,44,,,,0,0,"0,00","0,00"
